province,year,track,name_anon,gender,total_score,high_school,hs_city,is_tie,is_bonus_adj,college,note
河南,1985,理,岳*,M,NA,民权高中,NA,0,0,清华,录取清华
河南,1985,文,马*,M,NA,开封二十五中,NA,0,0,NA,
河南,1986,理,张*,NA,641,信阳高中,NA,0,0,NA,
河南,1986,文,吴*,M,584,罗山高中,NA,0,0,NA,
河南,1986,外,朱*,NA,556,信阳高中,NA,0,0,NA,文科外语类状元
河南,1988,理,欧*,NA,622,信阳高中,NA,0,0,NA,并列
河南,1988,理,乐*,M,NA,开封高中,NA,0,0,NA,并列
河南,1988,文,马*,NA,NA,舞钢一高,NA,0,0,NA,
河南,1989,理,周*,NA,NA,开封高中,NA,0,0,NA,
河南,1990,理,李*,NA,NA,柘城一高,NA,0,0,NA,
河南,1990,文,张*,M,NA,驻马店高中,NA,0,0,人大国际金融,并列;录取人大国际金融
河南,1990,文,张*,M,507,禹州一高,NA,0,0,NA,并列
河南,1990,外,张*,NA,NA,淮滨高中,NA,0,0,NA,文科外语类状元
河南,1991,理,(佚名),NA,622,洛阳一高,NA,0,0,北大无线电,姓名未公开;录取北大无线电
河南,1991,文,傅*,NA,546,邓州一高,NA,0,0,NA,
河南,1992,理,李*,NA,637,偃师高中,NA,0,0,NA,
河南,1993,理,杨*,NA,602,新乡一中,NA,0,0,NA,
河南,1993,理,(佚名),NA,NA,洛阳一高,NA,0,0,NA,并列;姓名未公开
河南,1993,文,穆*,M,NA,舞钢一高,NA,0,0,北大,录取北大
河南,1994,理,朱*,NA,900,信阳高中,NA,0,0,清华自动控制,标准分900制;录取清华自动控制;并列
河南,1994,理,高*,M,900,清丰一高,NA,0,0,清华,标准分900制;录取清华;并列
河南,1994,理,杨*,NA,900,新乡一中,NA,0,0,NA,标准分900制;并列
河南,1994,文,宋*,NA,900,孟津一高,NA,0,0,NA,标准分900制;并列
河南,1994,文,魏*,NA,900,郑州外国语学校,NA,0,0,NA,标准分900制;并列
河南,1994,外,田*,F,NA,郑州外国语学校,NA,0,0,NA,文科外语类状元
河南,1995,理,李*,NA,900,临颍一高,NA,0,0,NA,标准分900制;并列
河南,1995,理,朱*,M,900,洛阳一高,NA,0,0,NA,标准分900制;并列
河南,1995,理,崔*,M,900,温县一高,NA,0,0,清华土木建筑,标准分900制;并列;录取清华土木建筑
河南,1995,文,张*,F,900,许昌二高,NA,0,0,NA,标准分900制;并列
河南,1995,文,邹*,F,900,光山二高,NA,0,0,NA,标准分900制;并列
河南,1996,理,崔*,NA,900,新密实验高中,NA,0,0,NA,标准分900制
河南,1996,文,朱*,NA,900,信阳四高,NA,0,0,NA,标准分900制;并列
河南,1996,文,唐*,NA,900,浚县一中,NA,0,0,北大,标准分900制;并列;录取北大
河南,1996,文,孙*,NA,900,河南大学附中,NA,0,0,NA,标准分900制;并列
河南,1997,理,曹*,NA,900,新郑一中,NA,0,0,NA,标准分900制;并列
河南,1997,理,贾*,NA,900,鲁山一高,NA,0,0,NA,标准分900制;并列
河南,1997,文,窦*,NA,900,濮阳油田一中,NA,0,0,NA,"标准分900制;注:知乎旧版误标理科,以原文修正为文科"
河南,1997,文,胡*,NA,900,新郑一中,NA,0,0,NA,标准分900制
河南,1998,理,王*,F,900,新乡一中,NA,0,0,NA,标准分900制;并列
河南,1998,理,丁*,M,900,信阳高中,NA,0,0,北大计算机,标准分900制;并列;录取北大计算机
河南,1998,理,冯*,M,900,潢川高中,NA,0,0,NA,标准分900制;并列
河南,1998,文,魏*,NA,900,遂平一高,NA,0,0,武大法学,标准分900制;并列;录取武大法学
河南,1998,文,盛*,F,900,长葛一高,NA,0,0,北大,标准分900制;并列;录取北大
河南,1999,理,柳*,NA,900,开封高中,NA,0,0,NA,标准分900制;并列;当年原始分最高:理681文627
河南,1999,理,刘*,NA,900,柘城一高,NA,0,0,清华化学,标准分900制;并列;录取清华化学
河南,1999,理,别*,M,900,内乡高中,NA,0,0,NA,标准分900制;并列
河南,1999,理,赵*,NA,900,内黄一中,NA,0,0,NA,标准分900制;并列
河南,1999,理,徐*,NA,900,新乡一中,NA,0,0,NA,标准分900制;并列
河南,1999,文,刘*,M,900,平顶山实验高中,NA,0,0,NA,标准分900制
河南,2000,理,穆*,M,900,项城一高,NA,0,0,北大计算机,标准分900制;复读生(1999=729);原始分691;语793数855英824物780化755;录取北大计算机
河南,2000,理,李*,F,900,洛阳理工学院附中,NA,0,0,清华自动化,标准分900制;语815数895英750物691化873;录取清华自动化;并列
河南,2000,理,关*,NA,900,辉县一中,NA,0,0,北大计算机,标准分900制;语851数794英766物848化678;录取北大计算机;并列
河南,2000,理,何*,F,900,新乡一中,NA,0,0,清华生物,标准分900制;女(原文'她');14岁;语698数802英837物822化774;录取清华生物;并列
河南,2000,文,高*,F,900,濮阳县三中,NA,0,0,北大经济学院,标准分900制;女(原文'她');原始分635(语118数138英137政116史126);录取北大经济学院;并列
河南,2000,文,陈*,NA,900,邓州一高,NA,0,0,NA,标准分900制;并列
河南,2001,综,赵*,NA,559,信阳高中,NA,0,1,清华,3+大综合;含加分20裸分539;总分状元;录取清华
河南,2001,综,刘*,M,543,南阳二中,NA,0,0,北大天文,3+大综合;男(原文'他');裸分状元;大综合139;录取北大天文
河南,2001,综,王*,NA,543,濮阳油田一中,NA,0,0,NA,3+大综合;裸分状元并列
河南,2002,综,刘*,F,686,社旗一高,NA,0,0,清华计算机,3+大综合;女(原文'她');语140数144英136综266;录取清华计算机
河南,2002,综,孟*,NA,NA,开封高中,NA,0,0,NA,3+大综合;并列
河南,2003,综,徐*,NA,697,郑州一零一中学,NA,0,1,北大光华,3+大综合;含加分20裸分677;总分状元;录取北大光华
河南,2003,综,马*,M,680,杞县高中,NA,0,0,清华计算机,3+大综合;男(原文'他');裸分状元;语123数139英133综285;录取清华计算机
河南,2004,理,刘*,M,739,信阳高中,NA,0,1,清华生命科学,男(原文'他');含加分20裸分719;语124数148英147综300;录取清华生命科学
河南,2004,文,杨*,NA,681,项城一高,NA,0,0,NA,语130数147英138综266
河南,2005,理,王*,M,708,河南省实验中学,NA,0,1,NA,含加分20裸分688;语116数144英148综280
河南,2005,文,杨*,F,662,驻马店高中,NA,0,0,北大元培,女(原文'她');语127数138英143综254;录取北大元培
河南,2006,理,张*,M,692,新郑二中分校,NA,0,0,NA,语121数150英138综283
河南,2006,文,王*,NA,680,濮阳油田一中,NA,0,0,NA,语118数145英139综278
河南,2007,理,樊*,NA,712,淮阳中学,NA,0,1,NA,含加分20裸分692;总分状元
河南,2007,理,范*,F,705,安阳一中,NA,0,0,北大,女(原文'她');裸分状元;语138数146英138综283;录取北大
河南,2007,文,马*,F,667,洛阳一高,NA,0,0,北大,女(原文'她');语127数150英142综248;录取北大
河南,2008,理,刘*,M,698,项城三高,NA,0,0,NA,语131数142外144综281
河南,2008,文,尤*,F,667,北大附中河南分校,NA,0,0,北大元培,女(原文'她');复读生(2007=611);语130数129英146综262;录取北大元培
河南,2009,理,杨*,F,705,开封高中,NA,0,1,清华,含加分20裸分685;总分状元;录取清华
河南,2009,理,庞*,M,693,禹州一高,NA,0,0,清华,男(原文'他');裸分状元;复读生(2008=621);语117数143英142综291;录取清华
河南,2009,文,李*,NA,657,开封高中,NA,0,1,北大,含加分20裸分637;总分状元;录取北大
河南,2009,文,张*,F,648,新郑一中分校,NA,0,0,清华,女(原文'她');裸分状元;复读生;语128数142英143综235;录取清华
河南,2010,理,姚*,M,681,洛阳东方高中,NA,0,1,NA,含加分20裸分661;总分状元;语118数135英139综269
河南,2010,理,杨*,M,678,濮阳油田一中,NA,0,0,清华计算机,男(原文'他');裸分状元;语117数135英143综283;录取清华计算机
河南,2010,文,何*,F,645,罗山高中,NA,0,0,NA,语116数144英139综246
河南,2011,理,谢*,M,720,固始慈济高中,NA,0,1,NA,含加分20裸分700;总分状元;语123数149外138综290
河南,2011,理,卞*,NA,707,濮阳油田一中,NA,0,0,清华,裸分状元;语119数144外146综298;录取清华
河南,2011,文,王*,NA,680,开封高中,NA,0,1,清华,含加分20裸分660;总分状元;录取清华
河南,2012,理,陈*,NA,716,郸城一高,NA,0,1,清华,含加分20裸分696;语127数142英139综288;录取清华
河南,2012,文,于*,NA,673,林州一中,NA,0,0,NA,语137数136外141综259
河南,2013,理,孙*,NA,684,淮阳中学,NA,0,0,清华电子工程,语128数148英138综270;录取清华电子工程
河南,2013,文,王*,NA,658,内黄一中,NA,0,1,NA,含加分20裸分638
河南,2014,理,曹*,F,706,开封高中,NA,0,0,北大,女(原文'她');语138数139英148综281;录取北大
河南,2014,文,齐*,NA,665,漯河高中,NA,0,1,北大光华,含加分10裸分655;总分状元;录取北大光华
河南,2014,文,齐*,NA,662,郑州外国语学校,NA,0,0,北大光华,裸分状元;录取北大光华
河南,2015,理,祝*,NA,704,太康一高,NA,0,0,NA,
河南,2015,文,胡*,NA,638,扶沟高中,NA,0,0,NA,
河南,2016,理,刘*,M,709,南阳一中,NA,0,0,NA,语124数144英144综297
河南,2016,文,刘*,M,660,南阳一中,NA,0,0,NA,语130数141英145综244
河南,2017,理,陈*,M,703,临颍一高,NA,0,0,NA,语129数143英146综285
河南,2017,文,吴*,F,676,西峡一高,NA,0,0,北大光华,女(原文'她');录取北大光华
河南,2018,理,朱*,F,707,郸城一高,NA,0,0,NA,女(原文'她');复读生(原郑州一中);语128数148英142综289
河南,2018,文,勾*,F,689,南阳一中,NA,0,0,北大光华,女(原文'她');语127数147英142综273;录取北大光华
河南,2019,理,李*,F,702,郑州外国语学校,NA,0,0,清华自动化与工业工程,并列;录取清华自动化与工业工程
河南,2019,理,鲁*,NA,702,焦作宇华实验学校,NA,0,0,清华新雅,并列;语138数137英144综283;录取清华新雅
河南,2019,文,高*,M,663,信阳二高,NA,0,0,NA,语135数141英134综253
河南,2020,理,李*,M,724,固始高中,NA,0,0,清华计算机与金融双学位,男(原文'他');并列;语136数147英147综294;录取清华计算机与金融双学位
河南,2020,理,李*,F,724,郑州外国语学校,NA,0,0,北大元培,并列;语137数145外144综298;录取北大元培
河南,2020,文,赵*,F,679,荥阳高中,NA,0,0,北大艺术学院,女(原文'她');语133数144英146综256;录取北大艺术学院
河南,2021,理,彭*,M,732,开封高中,NA,0,1,清华交叉信息研究院,男(原文'他');含加分5裸分727;语134数149英149综295;录取清华交叉信息研究院
河南,2021,文,彭*,M,689,开封高中,NA,0,0,清华新雅,男(原文'他');语139数149英147综254;录取清华新雅
河南,2022,理,赵*,M,709,洛阳一高,NA,0,0,清华自动化,男(原文'他');语139数141英146综283;录取清华自动化
河南,2022,文,李*,F,675,郑州外国语学校,NA,0,0,北大光华,女(原文'她');语133数136外146综260;录取北大光华
河南,2023,理,职*,NA,718,南阳一中,NA,0,0,北大元培,语140数143英142综293;录取北大元培
河南,2023,文,郑*,F,693,林州一中,NA,0,0,清华新雅,女(原文'她');语139数150英141综263;录取清华新雅
河南,2024,理,原*,M,721,林州一中,NA,0,0,清华计算机,男(原文'他');语141数141外142综297;录取清华计算机
河南,2024,文,潘*,F,687,信阳高中,NA,0,0,NA,女(原文'她');复读生(2022年考入上交后退学);语140数123英145综279
河南,2025,物理类,代*,F,724,开封高中,NA,0,0,北大元培,女(搜狐报道确认);语140数150外141物98化99生96;录取北大元培;新高考3+1+2
