﻿﻿﻿school,province,year,qb_count,source_note
衡水中学,河北,2019,275,"巅峰期,搜狐2026报道"
衡水中学,河北,2020,67,保送11+强基55;另说73(搜狐排行口径)
衡水中学,河北,2021,139,网易2025河北分析
衡水中学,河北,2022,145,其中67保送强基;网易/163
衡水中学,河北,2023,107,网易2025河北分析
衡水中学,河北,2024,145,含保送强基裸分;网易
衡水中学,河北,2025,45,口径不一(45-56);搜狐/抖音
成都七中,四川,2019,70,2019-2023合计364推算
成都七中,四川,2020,69,2019-2023合计364推算
成都七中,四川,2021,76,知乎2022届对比/163
成都七中,四川,2022,70,清华31+北大39;知乎专栏
成都七中,四川,2023,79,清华36+北大43;网易
成都七中,四川,2024,81,网易2024高考报道
人大附中,北京,2020,169,zizzs 2020全国汇总
人大附中,北京,2024,150,gaokaozhitongche 2024榜
清华附中,北京,2024,100,gaokaozhitongche 2024榜
巴蜀中学,重庆,2020,70,搜狐2020排行
巴蜀中学,重庆,2024,94,gaokaozhitongche 2024榜
北京十一学校,北京,2020,69,搜狐2020排行
镇海中学,浙江,2020,62,搜狐2020排行
长郡中学,湖南,2020,60,搜狐2020排行
东北师大附中,吉林,2020,60,搜狐2020排行
镇海中学,浙江,2021,68,近5年270人推算(2021-2025)
镇海中学,浙江,2022,70,zizzs;另2020为62
镇海中学,浙江,2023,72,"镇海+蛟川书院,新纪录;腾讯新闻"
镇海中学,浙江,2024,60,近5年270人推算
镇海中学,浙江,2025,70,镇海集团;知乎2025省数据
镇海中学,浙江,2026,70,重回浙江第一;网易
上海中学,上海,2023,74,zizzs
上海中学,上海,2024,75,"估算(2022-24在沪220人左右,上中占1/3强)"
学军中学,浙江,2023,80,浙江第一;腾讯新闻
学军中学,浙江,2024,94,2024全国榜
贵阳一中,贵州,2024,20,"搜狐:贵州2024清北144人,贵阳一中20(另说17,抖音口径)"
西安高新一中,陕西,2022,40,zizzs:40+人
西安高新一中,陕西,2025,41,新浪:2025官方喜报
西工大附中,陕西,2025,88,新浪:2025官方喜报(北大34+清华54)
西安铁一中,陕西,2025,65,新浪:2025官方喜报
东北师大附中,吉林,2022,53,知乎2022统计(清华22)
东北师大附中,吉林,2023,69,"zizzs,新纪录"
珠海一中,广东,2022,7,知乎2022统计(清华4)
成都七中,四川,2024,63,"搜狐2024排行口径(另说81,网易口径,冲突标注)"
哈尔滨三中,黑龙江,2022,45,搜狐:近10年新高
哈师大附中,黑龙江,2017,11,网易黑龙江分析
哈师大附中,黑龙江,2019,12,网易黑龙江分析
哈师大附中,黑龙江,2020,13,网易黑龙江分析
哈师大附中,黑龙江,2022,13,网易黑龙江分析
哈师大附中,黑龙江,2024,9,网易黑龙江分析
呼和浩特二中,内蒙古,2016,29,含港澳高校;内蒙古新闻网
深圳中学,广东,2023,49,gaokaozhitongche
人大附中,北京,2021,203,gotohui 2021排行:遥遥领先
清华附中,北京,2021,70,gotohui 2021排行(70+)
北京四中,北京,2021,70,gotohui 2021排行(70+)
北京十一学校,北京,2021,70,gotohui 2021排行(70+)
镇海中学,浙江,2021,67,gotohui 2021排行
华中师大一附中,湖北,2021,64,gotohui 2021排行
人大附中,北京,2022,203,gk100 2022排行
清华附中,北京,2022,94,gk100 2022排行
衡水中学,河北,2023,139,"gotohui 2023排行(与107口径冲突,标注)"
人大附中,北京,2023,114,gotohui 2023排行
北京四中,北京,2023,87,gotohui 2023排行
巴蜀中学,重庆,2023,83,gotohui 2023排行
衡水中学,河北,2020,79,"zizzs 2020全国汇总(总口径,另说67/73,冲突标注)"
西工大附中,陕西,2020,87,zizzs 2020全国汇总
郑州外国语学校,河南,2020,73,zizzs 2020全国汇总
巴蜀中学,重庆,2020,70,zizzs 2020全国汇总
北京十一学校,北京,2020,69,zizzs 2020全国汇总
长郡中学,湖南,2020,60,zizzs 2020全国汇总
哈尔滨三中,黑龙江,2020,60,zizzs 2020全国汇总
雅礼中学,湖南,2022,65,zizzs 202207/76131
学军中学,浙江,2022,31,zizzs 202208/76669
天一中学,江苏,2022,20,zizzs 202207/76207
泉州实验中学,福建,2022,6,知乎2022超200校汇总
成都外国语学校,四川,2022,33,知乎2022超200校汇总(北大14)
西工大附中,陕西,2022,86,zizzs 202207/76140
北京八中,北京,2023,49,zizzs 202307/115255
清华附中,北京,2023,95,估算:2022 94→2024 100
西工大附中,陕西,2022,86,新浪2025陕西官方喜报
西工大附中,陕西,2023,86,新浪2025陕西官方喜报
西工大附中,陕西,2024,62,新浪2025陕西官方喜报(另:全国榜2024数据缺)
西工大附中,陕西,2025,88,新浪2025陕西官方喜报(北大34+清华54)
西安铁一中,陕西,2022,64,新浪2025陕西官方喜报
西安铁一中,陕西,2023,64,新浪2025陕西官方喜报
西安铁一中,陕西,2024,67,新浪2025陕西官方喜报
西安铁一中,陕西,2025,65,"新浪2025陕西官方喜报(2025已录,本行为校核)"
西安高新一中,陕西,2023,65,新浪2025陕西官方喜报
西安高新一中,陕西,2024,50,新浪2025陕西官方喜报
巴蜀中学,重庆,2020,70,"zizzs 2020重庆汇总(已录,校核)"
山西大学附中,山西,2020,50,zizzs 2020山西汇总
深圳中学,广东,2020,32,zizzs 2020广东汇总
东华高级中学,广东,2020,22,zizzs 2020广东汇总
人大附中,北京,2022,203,搜狐2026人大附中清北录取盘点
人大附中,北京,2023,187,搜狐2026人大附中清北录取盘点
人大附中,北京,2025,170,搜狐2026人大附中清北录取盘点
