province,school,year,track,top_gender,top_score,note
河南,民权高中,1985,理,M,,录取清华；性别=初筛确认(2026-08-09)
河南,开封二十五中,1985,文,M,,性别=初筛确认(2026-08-09)
河南,信阳高中,1986,理,NA,641,
河南,罗山高中,1986,文,M,584,性别=初筛确认(2026-08-09)
河南,信阳高中,1986,外,NA,556,文科外语类状元
河南,信阳高中,1988,理,NA,622,并列
河南,开封高中,1988,理,M,,并列；性别=初筛确认(2026-08-09)
河南,舞钢一高,1988,文,NA,,
河南,开封高中,1989,理,NA,,
河南,柘城一高,1990,理,NA,,
河南,驻马店高中,1990,文,M,,并列;录取人大国际金融；性别=初筛确认(2026-08-09)
河南,禹州一高,1990,文,M,507,并列；性别=初筛确认(2026-08-09)
河南,淮滨高中,1990,外,NA,,文科外语类状元
河南,洛阳一高,1991,理,NA,622,姓名未公开;录取北大无线电
河南,邓州一高,1991,文,NA,546,
河南,偃师高中,1992,理,NA,637,
河南,新乡一中,1993,理,NA,602,
河南,洛阳一高,1993,理,NA,,并列;姓名未公开
河南,舞钢一高,1993,文,M,,录取北大；性别=初筛确认(2026-08-09)
河南,信阳高中,1994,理,NA,900,标准分900制;录取清华自动控制;并列
河南,清丰一高,1994,理,M,900,标准分900制;录取清华;并列；性别=初筛确认(2026-08-09)
河南,新乡一中,1994,理,NA,900,标准分900制;并列
河南,孟津一高,1994,文,NA,900,标准分900制;并列
河南,郑州外国语学校,1994,文,NA,900,标准分900制;并列
河南,郑州外国语学校,1994,外,F,,文科外语类状元；性别=初筛确认(2026-08-09)
河南,临颍一高,1995,理,NA,900,标准分900制;并列
河南,洛阳一高,1995,理,M,900,标准分900制;并列；性别=初筛确认(2026-08-09)
河南,温县一高,1995,理,M,900,标准分900制;并列;录取清华土木建筑；性别=初筛确认(2026-08-09)
河南,许昌二高,1995,文,F,900,标准分900制;并列；性别=初筛确认(2026-08-09)
河南,光山二高,1995,文,F,900,标准分900制;并列；性别=初筛确认(2026-08-09)
河南,新密实验高中,1996,理,NA,900,标准分900制
河南,信阳四高,1996,文,NA,900,标准分900制;并列
河南,浚县一中,1996,文,NA,900,标准分900制;并列;录取北大
河南,河南大学附中,1996,文,NA,900,标准分900制;并列
河南,新郑一中,1997,理,NA,900,标准分900制;并列
河南,鲁山一高,1997,理,NA,900,标准分900制;并列
河南,濮阳油田一中,1997,文,NA,900,"标准分900制;注:知乎旧版误标理科,以原文修正为文科"
河南,新郑一中,1997,文,NA,900,标准分900制
河南,新乡一中,1998,理,F,900,标准分900制;并列；性别=初筛确认(2026-08-09)
河南,信阳高中,1998,理,M,900,标准分900制;并列;录取北大计算机；性别=初筛确认(2026-08-09)
河南,潢川高中,1998,理,M,900,标准分900制;并列；性别=初筛确认(2026-08-09)
河南,遂平一高,1998,文,NA,900,标准分900制;并列;录取武大法学
河南,长葛一高,1998,文,F,900,标准分900制;并列;录取北大；性别=初筛确认(2026-08-09)
河南,开封高中,1999,理,NA,900,标准分900制;并列;当年原始分最高:理681文627
河南,柘城一高,1999,理,NA,900,标准分900制;并列;录取清华化学
河南,内乡高中,1999,理,M,900,标准分900制;并列；性别=初筛确认(2026-08-09)
河南,内黄一中,1999,理,NA,900,标准分900制;并列
河南,新乡一中,1999,理,NA,900,标准分900制;并列
河南,平顶山实验高中,1999,文,M,900,标准分900制；性别=初筛确认(2026-08-09)
河南,项城一高,2000,理,M,900,标准分900制;复读生(1999=729);原始分691;语793数855英824物780化755;录取北大计算机；性别=初筛确认(2026-08-09)
河南,洛阳理工学院附中,2000,理,F,900,标准分900制;语815数895英750物691化873;录取清华自动化;并列；性别=初筛确认(2026-08-09)
河南,辉县一中,2000,理,NA,900,标准分900制;语851数794英766物848化678;录取北大计算机;并列
河南,新乡一中,2000,理,F,900,标准分900制;女(原文'她');14岁;语698数802英837物822化774;录取清华生物;并列
河南,濮阳县三中,2000,文,F,900,标准分900制;女(原文'她');原始分635(语118数138英137政116史126);录取北大经济学院;并列
河南,邓州一高,2000,文,NA,900,标准分900制;并列
河南,信阳高中,2001,综,NA,559,3+大综合;含加分20裸分539;总分状元;录取清华
河南,南阳二中,2001,综,M,543,3+大综合;男(原文'他');裸分状元;大综合139;录取北大天文
河南,濮阳油田一中,2001,综,NA,543,3+大综合;裸分状元并列
河南,社旗一高,2002,综,F,686,3+大综合;女(原文'她');语140数144英136综266;录取清华计算机
河南,开封高中,2002,综,NA,,3+大综合;并列
河南,郑州一零一中学,2003,综,NA,697,3+大综合;含加分20裸分677;总分状元;录取北大光华
河南,杞县高中,2003,综,M,680,3+大综合;男(原文'他');裸分状元;语123数139英133综285;录取清华计算机
河南,信阳高中,2004,理,M,739,男(原文'他');含加分20裸分719;语124数148英147综300;录取清华生命科学
河南,项城一高,2004,文,NA,681,语130数147英138综266
河南,河南省实验中学,2005,理,M,708,含加分20裸分688;语116数144英148综280；性别=初筛确认(2026-08-09)
河南,驻马店高中,2005,文,F,662,女(原文'她');语127数138英143综254;录取北大元培
河南,新郑二中分校,2006,理,M,692,语121数150英138综283；性别=初筛确认(2026-08-09)
河南,濮阳油田一中,2006,文,NA,680,语118数145英139综278
河南,淮阳中学,2007,理,NA,712,含加分20裸分692;总分状元
河南,安阳一中,2007,理,F,705,女(原文'她');裸分状元;语138数146英138综283;录取北大
河南,洛阳一高,2007,文,F,667,女(原文'她');语127数150英142综248;录取北大
河南,项城三高,2008,理,M,698,语131数142外144综281；性别=初筛确认(2026-08-09)
河南,北大附中河南分校,2008,文,F,667,女(原文'她');复读生(2007=611);语130数129英146综262;录取北大元培
河南,开封高中,2009,理,F,705,含加分20裸分685;总分状元;录取清华
河南,禹州一高,2009,理,M,693,男(原文'他');裸分状元;复读生(2008=621);语117数143英142综291;录取清华
河南,开封高中,2009,文,NA,657,含加分20裸分637;总分状元;录取北大
河南,新郑一中分校,2009,文,F,648,女(原文'她');裸分状元;复读生;语128数142英143综235;录取清华
河南,洛阳东方高中,2010,理,M,681,含加分20裸分661;总分状元;语118数135英139综269；性别=初筛确认(2026-08-09)
河南,濮阳油田一中,2010,理,M,678,男(原文'他');裸分状元;语117数135英143综283;录取清华计算机
河南,罗山高中,2010,文,F,645,语116数144英139综246；性别=初筛确认(2026-08-09)
河南,固始慈济高中,2011,理,M,720,含加分20裸分700;总分状元;语123数149外138综290；性别=初筛确认(2026-08-09)
河南,濮阳油田一中,2011,理,NA,707,裸分状元;语119数144外146综298;录取清华
河南,开封高中,2011,文,NA,680,含加分20裸分660;总分状元;录取清华
河南,郸城一高,2012,理,NA,716,含加分20裸分696;语127数142英139综288;录取清华
河南,林州一中,2012,文,NA,673,语137数136外141综259
河南,淮阳中学,2013,理,NA,684,语128数148英138综270;录取清华电子工程
河南,内黄一中,2013,文,NA,658,含加分20裸分638
河南,开封高中,2014,理,F,706,女(原文'她');语138数139英148综281;录取北大
河南,漯河高中,2014,文,NA,665,含加分10裸分655;总分状元;录取北大光华
河南,郑州外国语学校,2014,文,NA,662,裸分状元;录取北大光华
河南,太康一高,2015,理,NA,704,
河南,扶沟高中,2015,文,NA,638,
河南,南阳一中,2016,理,M,709,语124数144英144综297；性别=初筛确认(2026-08-09)
河南,南阳一中,2016,文,M,660,语130数141英145综244；性别=初筛确认(2026-08-09)
河南,临颍一高,2017,理,M,703,语129数143英146综285；性别=初筛确认(2026-08-09)
河南,西峡一高,2017,文,F,676,女(原文'她');录取北大光华
河南,郸城一高,2018,理,F,707,女(原文'她');复读生(原郑州一中);语128数148英142综289
河南,南阳一中,2018,文,F,689,女(原文'她');语127数147英142综273;录取北大光华
河南,郑州外国语学校,2019,理,F,702,并列;录取清华自动化与工业工程；性别=初筛确认(2026-08-09)
河南,焦作宇华实验学校,2019,理,NA,702,并列;语138数137英144综283;录取清华新雅
河南,信阳二高,2019,文,M,663,语135数141英134综253；性别=初筛确认(2026-08-09)
河南,固始高中,2020,理,M,724,男(原文'他');并列;语136数147英147综294;录取清华计算机与金融双学位
河南,郑州外国语学校,2020,理,F,724,并列;语137数145外144综298;录取北大元培；性别=初筛确认(2026-08-09)
河南,荥阳高中,2020,文,F,679,女(原文'她');语133数144英146综256;录取北大艺术学院
河南,开封高中,2021,理,M,732,男(原文'他');含加分5裸分727;语134数149英149综295;录取清华交叉信息研究院
河南,开封高中,2021,文,M,689,男(原文'他');语139数149英147综254;录取清华新雅
河南,洛阳一高,2022,理,M,709,男(原文'他');语139数141英146综283;录取清华自动化
河南,郑州外国语学校,2022,文,F,675,女(原文'她');语133数136外146综260;录取北大光华
河南,南阳一中,2023,理,NA,718,语140数143英142综293;录取北大元培
河南,林州一中,2023,文,F,693,女(原文'她');语139数150英141综263;录取清华新雅
河南,林州一中,2024,理,M,721,男(原文'他');语141数141外142综297;录取清华计算机
河南,信阳高中,2024,文,F,687,女(原文'她');复读生(2022年考入上交后退学);语140数123英145综279
河南,开封高中,2025,物理类,F,724,女(搜狐报道确认);语140数150外141物98化99生96;录取北大元培;新高考3+1+2
河南,济源一中,2025,历史类,F,697,语132数136英145史86政98地100;录取清华;新高考3+1+2；性别=初筛确认(2026-08-09)
河南,郸城一高,2026,物理类,NA,718,语134数145外145物99化97生98
河南,信阳高中,2026,历史类,NA,695,语138数126外147史92政96地96
甘肃,兰州一中,1984,理,NA,,录取清华
甘肃,兰州一中,1984,文,NA,,录取复旦
甘肃,兰州一中,1986,外,NA,,文科外语类最高分;录取北大
甘肃,兰州一中,1987,文,NA,,录取复旦
甘肃,兰州一中,1988,文,NA,,录取北京第二外国语学院
甘肃,兰州一中,1989,文,NA,,录取对外经济贸易大学
甘肃,兰炼一中,1996,理,NA,,录取清华
甘肃,兰州一中,1997,理,F,,录取清华；性别=初筛确认(2026-08-09)
甘肃,靖远矿务局一中,1999,理,M,677,录取北大元培；性别=初筛确认(2026-08-09)
甘肃,白银公司二中,1999,文,NA,,录取北大
甘肃,兰铁一中,2000,理,NA,669,录取清华电子工程
甘肃,会宁一中,2000,文,NA,607,录取北大法学
甘肃,兰州一中,2001,理,M,692,录取清华；性别=初筛确认(2026-08-09)
甘肃,酒钢三中,2001,文,NA,638,录取北大法学
甘肃,白银十中,2002,理,NA,683,录取清华
甘肃,酒钢三中,2002,文,F,652,录取北大；性别=初筛确认(2026-08-09)
甘肃,兰州一中,2003,理,NA,677,录取北大
甘肃,皋兰一中,2003,文,NA,643,录取北大
甘肃,张掖中学,2004,理,F,711,录取中科大；性别=初筛确认(2026-08-09)
甘肃,临洮中学,2004,文,NA,683,录取北大工商管理
甘肃,兰州二中,2005,理,M,703,录取清华工商管理类；性别=初筛确认(2026-08-09)
甘肃,陇东中学,2005,文,NA,668,录取人大
甘肃,兰州一中,2006,理,NA,702,录取清华
甘肃,酒钢三中,2006,文,M,664,录取北大；性别=初筛确认(2026-08-09)
甘肃,会宁二中,2007,理,M,711,录取清华；性别=初筛确认(2026-08-09)
甘肃,皋兰一中,2007,文,F,670,录取人大；性别=初筛确认(2026-08-09)
甘肃,庄浪一中,2008,理,NA,698,录取清华
甘肃,嘉峪关一中,2008,文,NA,658,
甘肃,天水一中,2009,理,NA,690,录取清华
甘肃,临夏中学,2009,文,NA,622.5,录取清华金融系
甘肃,西北师大附中,2010,理,F,685,录取清华；性别=初筛确认(2026-08-09)
甘肃,民乐一中,2010,文,NA,620,并列;录取清华经管
甘肃,酒钢三中,2010,文,NA,620,并列;录取北大光华
甘肃,西北师大附中,2010,文,NA,620,并列;录取北大光华
甘肃,天水一中,2011,理,NA,685,录取清华
甘肃,兰州一中,2011,文,F,648,录取北大；性别=初筛确认(2026-08-09)
甘肃,天水九中,2012,理,M,695,含加分10裸分685;录取清华建筑；性别=初筛确认(2026-08-09)
甘肃,兰州一中,2012,文,NA,637,并列;录取清华经管
甘肃,西北师大附中,2012,文,F,637,并列;女(eol报道'留着短发的女孩');录取港大
甘肃,西北师大附中,2013,理,NA,674,录取清华
甘肃,西北师大附中,2013,文,NA,642,录取北大元培;别名'祁萧'
甘肃,西北师大附中,2014,理,F,687,并列;录取北大；性别=初筛确认(2026-08-09)
甘肃,庆阳一中,2014,理,M,687,并列;录取北大；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2014,文,NA,646,录取清华
甘肃,民乐一中,2015,理,NA,676,录取清华
甘肃,西北师大附中,2015,文,F,660,录取北大；性别=初筛确认(2026-08-09)
甘肃,通渭一中,2016,理,F,690,并列;录取清华医学实验班；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2016,理,M,690,并列;录取北大；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2016,理,NA,690,并列;录取清华
甘肃,白银十中,2016,文,F,638,录取北大；性别=初筛确认(2026-08-09)
甘肃,兰州一中,2017,理,NA,691,录取清华钱学森力学班
甘肃,西北师大附中,2017,文,NA,654,录取北大
甘肃,定西一中,2018,理,NA,691,录取清华经管
甘肃,平凉一中,2018,文,F,643,录取北大；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2019,理,M,694,并列;录取北大元培；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2019,理,NA,694,并列;录取清华
甘肃,西北师大附中,2019,文,M,666,录取北大；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2020,理,NA,704,录取清华经管
甘肃,民乐一中,2020,文,F,686,录取清华经管；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2021,理,M,693,录取清华；性别=初筛确认(2026-08-09)
甘肃,天水一中,2021,文,NA,666,录取北大
甘肃,西北师大附中,2022,理,M,674,录取清华；性别=初筛确认(2026-08-09)
甘肃,兰州衡文中学,2022,文,F,637,复读;录取北大文科试验班；性别=初筛确认(2026-08-09)
甘肃,西北师大附中,2023,理,M,696,性别=初筛确认(2026-08-09)
甘肃,兰炼一中,2023,文,NA,655,录取北大元培
甘肃,武威一中,2024,物理类,NA,702,录取清华
甘肃,北师大庆阳实验学校,2024,历史类,NA,677,录取北大元培
甘肃,平凉一中,2025,物理类,NA,683,
甘肃,敦煌中学,2025,历史类,NA,690,录取北大
甘肃,武威一中,2026,物理类,NA,706,
甘肃,武威一中,2026,历史类,F,683,性别=初筛确认(2026-08-09)
湖南,安仁一中,1977,文,NA,,录取北大历史系考古
湖南,怀化三中,1979,理,NA,,录取中科大
湖南,湘潭市一中,1980,理,NA,,录取北大数学
湖南,岳阳县一中,1981,理,M,,录取北大；性别=初筛确认(2026-08-09)
湖南,益阳箴言中学,1983,理,NA,,录取清华
