province,year,exam_mode,score_system,full_score,track_split,n_records,n_ties,n_bonus_flagged,n_gender_confirmed,n_anonymized,ban_stage
北京,2000,3+X文理综,nat750,750,文理,2,0,0,2,0,0
北京,2001,3+X文理综,nat750,750,文理,2,0,0,1,0,0
北京,2002,3+X文理综,nat750,750,文理,2,0,0,1,0,0
北京,2003,3+X文理综,nat750,750,文理,2,0,2,1,0,0
北京,2004,3+X文理综,nat750,750,文理,2,0,1,2,0,0
北京,2005,3+X文理综,nat750,750,文理,3,2,3,2,0,1
北京,2006,3+X文理综,nat750,750,文理,2,0,2,2,0,1
北京,2007,3+X文理综,nat750,750,文理,2,0,0,2,0,1
北京,2008,3+X文理综,nat750,750,文理,2,0,0,1,0,1
北京,2009,3+X文理综,nat750,750,文理,2,0,0,0,0,1
北京,2010,3+X文理综,nat750,750,文理,2,0,1,2,0,1
北京,2011,3+X文理综,nat750,750,文理,4,3,1,3,0,1
北京,2012,3+X文理综,nat750,750,文理,2,0,0,1,0,1
北京,2013,3+X文理综,nat750,750,文理,4,0,3,2,0,1
北京,2014,3+X文理综,nat750,750,文理,3,0,1,2,0,1
北京,2015,3+X文理综,nat750,750,文理,3,0,1,2,0,1
北京,2016,3+X文理综,nat750,750,文理,3,2,0,2,0,1
北京,2017,3+X文理综,nat750,750,文理,2,0,0,2,0,1
北京,2018,3+X文理综,nat750,750,文理,2,0,0,2,0,2
北京,2019,3+X文理综,nat750,750,文理,3,0,1,3,0,2
北京,2020,3+3,nat750,750,3+3不分,1,0,0,1,0,2
北京,2021,3+3,nat750,750,3+3不分,1,0,0,0,1,2
北京,2022,3+3,nat750,750,3+3不分,1,0,0,1,0,2
北京,2023,3+3,nat750,750,3+3不分,1,0,0,0,1,2
北京,2024,3+3,nat750,750,3+3不分,1,0,0,0,0,2
北京,2025,3+3,nat750,750,3+3不分,1,0,0,0,0,2
北京,2026,3+3,nat750,750,3+3不分,0,0,0,0,0,2
天津,2000,3+X文理综,nat750,750,文理,3,2,0,2,0,0
天津,2001,3+X文理综,nat750,750,文理,2,0,0,1,0,0
天津,2002,3+X文理综,nat750,750,文理,2,0,1,2,0,0
天津,2003,3+X文理综,nat750,750,文理,2,0,0,1,0,0
天津,2004,3+X文理综,nat750,750,文理,2,0,0,1,0,0
天津,2005,3+X文理综,nat750,750,文理,2,0,1,2,0,1
天津,2006,3+X文理综,nat750,750,文理,2,0,1,1,0,1
天津,2007,3+X文理综,nat750,750,文理,3,0,2,1,0,1
天津,2008,3+X文理综,nat750,750,文理,3,0,2,1,0,1
天津,2009,3+X文理综,nat750,750,文理,2,0,1,0,0,1
天津,2010,3+X文理综,nat750,750,文理,3,0,1,3,0,1
天津,2011,3+X文理综,nat750,750,文理,3,0,2,3,0,1
天津,2012,3+X文理综,nat750,750,文理,2,0,2,2,0,1
天津,2013,3+X文理综,nat750,750,文理,4,2,3,3,0,1
天津,2014,3+X文理综,nat750,750,文理,3,0,3,3,0,1
天津,2015,3+X文理综,nat750,750,文理,2,0,0,1,0,1
天津,2016,3+X文理综,nat750,750,文理,3,2,0,1,0,1
天津,2017,3+X文理综,nat750,750,文理,2,0,0,1,0,1
天津,2018,3+X文理综,nat750,750,文理,2,0,0,2,0,2
天津,2019,3+X文理综,nat750,750,文理,2,0,0,1,0,2
天津,2020,3+3,nat750,750,3+3不分,1,0,0,1,0,2
天津,2021,3+3,nat750,750,3+3不分,1,0,0,1,0,2
天津,2022,3+3,nat750,750,3+3不分,1,0,0,1,0,2
天津,2023,3+3,nat750,750,3+3不分,2,2,0,2,0,2
天津,2024,3+3,nat750,750,3+3不分,1,0,0,0,0,2
天津,2025,3+3,nat750,750,3+3不分,1,0,0,1,0,2
天津,2026,3+3,nat750,750,3+3不分,2,2,0,0,2,2
上海,2000,3+1,sh630,630,文理,2,0,0,1,0,0
上海,2001,3+1,sh630,630,文理,2,0,0,1,0,0
上海,2002,3+1,sh630,630,文理,3,0,0,1,0,0
上海,2003,3+1,sh630,630,文理,2,0,1,2,0,0
上海,2004,3+1,sh630,630,文理,2,0,1,1,0,0
上海,2005,3+1,sh630,630,文理,3,0,1,2,0,1
上海,2006,3+1,sh630,630,文理,2,0,0,0,0,1
上海,2007,3+1,sh630,630,文理,2,0,0,1,0,1
上海,2008,3+1,sh630,630,文理,3,0,1,1,0,1
上海,2009,3+1,sh630,630,文理,2,0,1,1,0,1
上海,2010,3+1,sh630,630,文理,2,0,1,0,0,1
上海,2011,3+1,sh630,630,文理,3,2,0,1,0,1
上海,2012,3+1,sh630,630,文理,3,0,1,2,0,1
上海,2013,3+1,sh630,630,文理,3,2,0,2,0,1
上海,2014,3+1,sh630,630,文理,3,0,1,3,0,1
上海,2015,3+1,sh630,630,文理,2,0,0,1,0,1
上海,2016,3+1,sh630,630,文理,2,0,0,2,0,1
上海,2017,3+3,sh660,660,3+3不分,1,0,0,1,0,1
上海,2018,3+3,sh660,660,3+3不分,1,0,0,1,0,2
