province,year,track,n,fem_share,female_dummy,n_tie
上海,2004,理,1,1.0,1,0
上海,2005,文,1,1.0,1,0
上海,2005,理,1,1.0,1,0
上海,2007,理,1,0.0,0,0
上海,2008,文,1,1.0,1,0
上海,2009,文,1,1.0,1,0
上海,2011,理,1,0.0,0,0
上海,2012,理,2,0.5,1,0
上海,2013,理,2,0.0,0,0
上海,2014,文,2,1.0,1,0
上海,2014,理,1,0.0,0,0
上海,2015,理,1,0.0,0,0
上海,2016,文,1,1.0,1,0
上海,2016,理,1,1.0,1,0
云南,2004,文,1,0.0,0,0
云南,2005,文,1,1.0,1,0
云南,2006,文,1,1.0,1,0
云南,2007,文,1,1.0,1,0
云南,2007,理,2,0.5,1,0
云南,2008,理,1,0.0,0,0
云南,2009,理,1,1.0,1,0
云南,2011,文,1,0.0,0,0
云南,2011,理,1,1.0,1,0
云南,2012,理,1,1.0,1,0
云南,2014,理,1,1.0,1,0
云南,2016,文,1,0.0,0,0
云南,2016,理,2,0.5,1,0
云南,2017,文,1,0.0,0,0
云南,2018,文,1,1.0,1,0
云南,2019,理,2,1.0,1,0
云南,2020,文,1,1.0,1,0
云南,2020,理,1,0.0,0,0
云南,2021,文,2,1.0,1,0
云南,2021,理,2,0.0,0,0
云南,2022,文,1,0.0,0,0
云南,2022,理,1,0.0,0,0
云南,2023,文,2,1.0,1,0
云南,2023,理,1,1.0,1,0
云南,2024,文,1,0.0,0,0
云南,2024,理,1,0.0,0,0
内蒙古,2004,文,1,1.0,1,0
内蒙古,2004,理,1,0.0,0,0
内蒙古,2005,文,1,0.0,0,0
内蒙古,2005,理,1,0.0,0,0
内蒙古,2006,文,1,1.0,1,0
内蒙古,2006,理,1,1.0,1,0
内蒙古,2007,理,1,0.0,0,0
内蒙古,2008,文,1,0.0,0,0
内蒙古,2008,理,1,0.0,0,0
内蒙古,2009,文,1,0.0,0,0
内蒙古,2010,文,1,0.0,0,0
内蒙古,2010,理,1,1.0,1,0
内蒙古,2011,文,1,1.0,1,0
内蒙古,2012,文,1,1.0,1,0
内蒙古,2012,理,2,0.0,0,0
内蒙古,2013,文,2,0.5,1,0
内蒙古,2014,文,2,1.0,1,0
内蒙古,2014,理,2,0.5,1,0
内蒙古,2015,文,1,1.0,1,0
内蒙古,2015,理,1,0.0,0,0
内蒙古,2016,文,1,1.0,1,0
内蒙古,2016,理,1,0.0,0,0
内蒙古,2017,文,1,1.0,1,0
内蒙古,2017,理,3,0.3333333333333333,1,0
内蒙古,2018,文,1,0.0,0,0
内蒙古,2019,文,1,1.0,1,0
内蒙古,2019,理,1,0.0,0,0
内蒙古,2020,文,1,1.0,1,0
内蒙古,2020,理,1,0.0,0,0
内蒙古,2021,理,2,0.0,0,0
